age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label,weekend_usage_difference,sleep_deficit,notification_intensity,weekend_overuse,DEI,DEI_Category
21,1,3.23,2.01,0.89,4.55,7.55,248,154,3.95,Medium,Yes,Moderate,0,0.7200000000000002,0.4500000000000002,76.78018575851394,0.7200000000000002,13.434509379509382,Low
24,2,5.09,3.81,2.24,4.44,7.66,127,71,6.71,Medium,Yes,Moderate,0,1.62,0.33999999999999986,24.95088408644401,1.62,35.19608946608946,Moderate
31,2,6.06,1.36,3.83,2.35,4.92,44,106,8.68,High,No,Mild,0,2.62,3.08,7.260726072607261,2.62,51.464090909090906,Moderate
32,2,7.83,5.85,1.51,3.54,8.23,178,107,9.77,High,Yes,Moderate,1,1.9399999999999995,0.0,22.733077905491697,1.9399999999999995,52.63651515151514,Moderate
25,1,9.96,5.92,3.42,5.27,6.21,136,177,12.55,Low,No,Severe,1,2.59,1.79,13.654618473895582,2.59,78.84160173160174,High
26,1,9.32,4.26,0.29,3.99,6.9,82,56,10.98,Medium,Yes,Severe,1,1.66,1.0999999999999996,8.798283261802576,1.6600000000000001,53.31940115440115,Moderate
25,1,10.4,4.93,1.6,0.86,8.61,165,95,11.43,Medium,No,Severe,1,1.0299999999999994,0.0,15.865384615384617,1.0299999999999994,55.034141414141416,Moderate
26,1,4.26,4.6,2.16,4.61,6.43,169,117,5.66,Low,No,Moderate,1,1.4000000000000004,1.5700000000000003,39.67136150234742,1.4000000000000004,41.50779220779221,Moderate
21,2,4.38,1.38,2.72,3.78,6.23,172,134,6.2,High,Yes,Moderate,0,1.8200000000000005,1.7699999999999996,39.26940639269407,1.8200000000000003,31.560952380952383,Low
35,2,9.76,4.73,1.36,2.11,5.21,20,82,12.69,Low,Yes,Severe,1,2.93,2.79,2.0491803278688523,2.9299999999999997,74.57901875901875,High
34,0,8.48,1.34,3.05,3.47,8.0,155,15,10.48,Medium,Yes,Moderate,1,2.0,0.0,18.27830188679245,2.0,38.75429292929293,Moderate
27,2,5.16,1.82,2.27,0.93,7.79,228,32,8.1,High,Yes,Moderate,0,2.9399999999999995,0.20999999999999996,44.18604651162791,2.9399999999999995,31.034999999999997,Low
33,2,11.52,1.41,2.11,3.84,8.84,158,66,13.8,Medium,No,Severe,1,2.280000000000001,0.0,13.71527777777778,2.280000000000001,49.66469696969697,Moderate
32,1,4.09,1.74,1.35,3.74,5.54,76,16,4.77,High,Yes,Moderate,0,0.6799999999999997,2.46,18.581907090464547,0.6799999999999997,28.027395382395383,Low
19,1,10.74,0.89,0.95,4.18,5.46,53,161,12.68,Low,No,Severe,1,1.9399999999999995,2.54,4.934823091247672,1.9399999999999995,54.52201298701298,Moderate
21,1,3.87,2.87,1.69,3.07,7.78,192,180,4.62,Medium,No,Moderate,0,0.75,0.21999999999999975,49.61240310077519,0.75,20.638203463203464,Low
24,2,4.71,2.97,1.69,2.03,5.62,39,128,7.23,High,Yes,Moderate,0,2.5200000000000005,2.38,8.280254777070065,2.5200000000000005,43.78227272727272,Moderate
35,0,10.52,5.83,3.71,5.17,5.25,144,138,11.55,Medium,Yes,Moderate,1,1.0300000000000011,2.75,13.688212927756654,1.0300000000000011,80.58100288600288,High
18,0,11.87,1.96,3.14,3.0,6.4,207,157,14.02,Medium,Yes,Moderate,1,2.1500000000000004,1.5999999999999996,17.43892165122157,2.1500000000000004,64.72366522366522,Moderate
24,2,11.72,3.69,2.17,4.61,4.76,169,137,13.48,High,Yes,Moderate,1,1.7599999999999998,3.24,14.419795221843003,1.7599999999999998,77.39039682539682,High
20,0,10.66,0.88,0.27,5.24,6.32,247,160,11.78,High,Yes,Moderate,1,1.1199999999999992,1.6799999999999997,23.170731707317078,1.1199999999999992,44.271161616161606,Moderate
34,0,5.85,1.93,2.68,2.23,5.7,53,180,7.1,Medium,Yes,Moderate,0,1.25,2.3,9.05982905982906,1.25,40.42619047619046,Moderate
21,2,3.66,1.67,1.06,5.63,8.46,245,77,5.08,Low,No,Mild,0,1.42,0.0,66.93989071038251,1.42,14.214848484848485,Low
