age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label,weekend_usage_difference,sleep_deficit,notification_intensity
21,1,3.23,2.01,0.89,4.55,7.55,248,154,3.95,Medium,Yes,Moderate,0,0.7200000000000002,0.4500000000000002,76.78018575851394
24,2,5.09,3.81,2.24,4.44,7.66,127,71,6.71,Medium,Yes,Moderate,0,1.62,0.33999999999999986,24.95088408644401
31,2,6.06,1.36,3.83,2.35,4.92,44,106,8.68,High,No,Mild,0,2.62,3.08,7.2607260726072615
32,2,7.83,5.85,1.51,3.54,8.23,178,107,9.77,High,Yes,Moderate,1,1.9399999999999995,-0.23000000000000043,22.733077905491697
25,1,9.96,5.92,3.42,5.27,6.21,136,177,12.55,Low,No,Severe,1,2.59,1.79,13.654618473895582
26,1,9.32,4.26,0.29,3.99,6.9,82,56,10.98,Medium,Yes,Severe,1,1.6600000000000001,1.0999999999999996,8.798283261802576
25,1,10.4,4.93,1.6,0.86,8.61,165,95,11.43,Medium,No,Severe,1,1.0299999999999994,-0.6099999999999994,15.865384615384615
26,1,4.26,4.6,2.16,4.61,6.43,169,117,5.66,Low,No,Moderate,1,1.4000000000000004,1.5700000000000003,39.67136150234742
21,2,4.38,1.38,2.72,3.78,6.23,172,134,6.2,High,Yes,Moderate,0,1.8200000000000003,1.7699999999999996,39.269406392694066
35,2,9.76,4.73,1.36,2.11,5.21,20,82,12.69,Low,Yes,Severe,1,2.9299999999999997,2.79,2.0491803278688523
34,0,8.48,1.34,3.05,3.47,8.0,155,15,10.48,Medium,Yes,Moderate,1,2.0,0.0,18.278301886792452
27,2,5.16,1.82,2.27,0.93,7.79,228,32,8.1,High,Yes,Moderate,0,2.9399999999999995,0.20999999999999996,44.18604651162791
33,2,11.52,1.41,2.11,3.84,8.84,158,66,13.8,Medium,No,Severe,1,2.280000000000001,-0.8399999999999999,13.715277777777779
32,1,4.09,1.74,1.35,3.74,5.54,76,16,4.77,High,Yes,Moderate,0,0.6799999999999997,2.46,18.581907090464547
19,1,10.74,0.89,0.95,4.18,5.46,53,161,12.68,Low,No,Severe,1,1.9399999999999995,2.54,4.934823091247672
