age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label,weekend_usage_difference,sleep_deficit,notification_intensity,weekend_overuse,DEI,DEI_Category,attention_score,attention_category,addiction_level_num,NDI,dependency_category,attention_inverse,Aggression_Risk,Aggression_Category,Wellbeing_Score,Wellbeing_Category,Cluster,User_Segment,Recommendation
21,1,3.23,2.01,0.89,4.55,7.55,248,154,3.95,Medium,Yes,Moderate,0,0.7200000000000002,0.4500000000000002,76.78018575851394,0.7200000000000002,13.434509379509382,Low,96.0246471861472,High,2,72.06383399209486,High,3.975352813852794,33.17281303021238,Moderate,73.61007805801599,Excellent,2,High-Risk,Disable non-essential notifications
24,2,5.09,3.81,2.24,4.44,7.66,127,71,6.71,Medium,Yes,Moderate,0,1.62,0.3399999999999998,24.95088408644401,1.62,35.19608946608946,Moderate,78.51117316017316,High,2,39.14472990777338,Moderate,21.48882683982684,33.944636874206424,Moderate,69.49368806884394,Average,2,High-Risk,Maintain current habits
31,2,6.06,1.36,3.83,2.35,4.92,44,106,8.68,High,No,Mild,0,2.62,3.08,7.260726072607261,2.62,51.464090909090906,Moderate,67.75577272727273,Moderate,1,28.055204216073783,Low,32.24422727272727,39.37984344334177,Moderate,60.862691731193074,Average,0,Healthy,Improve sleep schedule
32,2,7.83,5.85,1.51,3.54,8.23,178,107,9.77,High,Yes,Moderate,1,1.9399999999999995,0.0,22.733077905491697,1.9399999999999995,52.63651515151514,Moderate,63.214045454545456,Moderate,2,59.10862977602107,Moderate,36.785954545454544,55.16918505467733,Moderate,53.93798113507904,Average,0,Healthy,Maintain current habits
25,1,9.96,5.92,3.42,5.27,6.21,136,177,12.55,Low,No,Severe,1,2.59,1.79,13.654618473895582,2.59,78.84160173160174,High,41.91751948051947,Moderate,3,78.61581027667984,High,58.08248051948053,81.79862954902184,High,31.08189892356616,Poor,1,At-Risk,Reduce daily screen time; Disable non-essential notifications; Improve sleep schedule; Practice digital detox
26,1,9.32,4.26,0.29,3.99,6.9,82,56,10.98,Medium,Yes,Severe,1,1.66,1.0999999999999996,8.798283261802576,1.66,53.31940115440115,Moderate,60.88917965367965,Moderate,3,43.66508563899868,Moderate,39.11082034632035,49.70996792865888,Moderate,55.64739129040503,Average,0,Healthy,Improve sleep schedule
25,1,10.4,4.93,1.6,0.86,8.61,165,95,11.43,Medium,No,Severe,1,1.0299999999999994,0.0,15.865384615384617,1.0299999999999994,55.034141414141416,Moderate,57.24975757575757,Moderate,3,66.36824769433464,High,42.75024242424243,61.68752835781627,Moderate,49.49961312665255,Average,1,At-Risk,Disable non-essential notifications
26,1,4.26,4.6,2.16,4.61,6.43,169,117,5.66,Low,No,Moderate,1,1.4000000000000004,1.5700000000000005,39.67136150234742,1.4000000000000004,41.50779220779221,Moderate,75.18766233766235,High,2,53.91027667984189,Moderate,24.81233766233765,43.94816664107916,Moderate,61.2350703172204,Average,0,Healthy,Improve sleep schedule
21,2,4.38,1.38,2.72,3.78,6.23,172,134,6.2,High,Yes,Moderate,0,1.8200000000000005,1.7699999999999996,39.26940639269407,1.8200000000000005,31.560952380952383,Low,83.01171428571428,High,2,58.17285902503293,Moderate,16.988285714285723,39.00285477032124,Moderate,65.75827616992142,Average,2,High-Risk,Improve sleep schedule
35,2,9.76,4.73,1.36,2.11,5.21,20,82,12.69,Low,Yes,Severe,1,2.93,2.79,2.0491803278688523,2.93,74.57901875901875,High,47.266294372294375,Moderate,3,40.47878787878787,Moderate,52.733705627705625,61.52411600017528,Moderate,43.42075864614976,Average,1,At-Risk,Reduce daily screen time; Improve sleep schedule
